# ---------------------------------- WARNING ----------------------------------------
# Some of the data that you have obtained from this U.S. Geological Survey database
# may not have received Director's approval. Any such data values are qualified
# as provisional and are subject to revision. Provisional data are released on the
# condition that neither the USGS nor the United States Government may be held liable
# for any damages resulting from its use.
#
# Additional info: https://help.waterdata.usgs.gov/policies/provisional-data-statement
#
# File-format description:  https://help.waterdata.usgs.gov/faq/about-tab-delimited-output
# Automated-retrieval info: https://help.waterdata.usgs.gov/faq/automated-retrievals
#
# Contact:   gs-w_support_nwisweb@usgs.gov
# retrieved: 2017-01-18 14:21:18 EST       (vaww02)
#
# Data for the following 1 site(s) are contained in this file
#    USGS 11179000 ALAMEDA C NR NILES CA
# -----------------------------------------------------------------------------------
#
# Data provided for site 11179000
#            TS   parameter     statistic     Description
#          9028       00010     00001     Temperature, water, degrees Celsius (Maximum)
#          9029       00010     00002     Temperature, water, degrees Celsius (Minimum)
#          9030       00010     00008     Temperature, water, degrees Celsius (Median)
#          9031       00010     00011     Temperature, water, degrees Celsius (Instantaneous)
#          9032       00060     00003     Discharge, cubic feet per second (Mean)
#          9033       80154     00003     Suspended sediment concentration, milligrams per liter (Mean)
#          9034       80155     00003     Suspended sediment discharge, short tons per day (Mean)
#          9038       80225     00003     Bedload sediment discharge, short tons per day (Mean)
#
# Data-value qualification codes included in this output:
#        
#     A  Approved for publication -- Processing and review completed.
#     P  Provisional data subject to revision.
#     e  Value has been estimated.
# 
agency_cd	site_no	datetime	9028_00010_00001	9028_00010_00001_cd	9029_00010_00002	9029_00010_00002_cd	9030_00010_00008	9030_00010_00008_cd	9031_00010_00011	9031_00010_00011_cd	9032_00060_00003	9032_00060_00003_cd	9033_80154_00003	9033_80154_00003_cd	9034_80155_00003	9034_80155_00003_cd	9038_80225_00003	9038_80225_00003_cd
USGS	11179000	1999-03-17									111	A						
USGS	11179000	1999-03-18									104	A						
USGS	11179000	1999-03-19									109	A						
USGS	11179000	1999-03-20									161	A						
USGS	11179000	1999-03-21									132	A						
USGS	11179000	1999-03-22									105	A						
USGS	11179000	1999-03-23									103	A						
USGS	11179000	1999-03-24									93	A						
USGS	11179000	1999-03-25									190	A						
USGS	11179000	1999-03-26									136	A						
USGS	11179000	1999-03-27									88	A						
USGS	11179000	1999-03-28									82	A						
USGS	11179000	1999-03-29									77	A						
USGS	11179000	1999-03-30									72	A						
USGS	11179000	1999-03-31									166	A						
USGS	11179000	1999-04-01									79	A						
USGS	11179000	1999-04-02									71	A						
USGS	11179000	1999-04-03									78	A						
USGS	11179000	1999-04-04									77	A						
USGS	11179000	1999-04-05									187	A						
USGS	11179000	1999-04-06									163	A						
USGS	11179000	1999-04-07									105	A						
USGS	11179000	1999-04-08									318	A						
USGS	11179000	1999-04-09									160	A						
USGS	11179000	1999-04-10									108	A						
USGS	11179000	1999-04-11									260	A						
USGS	11179000	1999-04-12									188	A						
USGS	11179000	1999-04-13									121	A						
USGS	11179000	1999-04-14									168	A						
USGS	11179000	1999-04-15									208	A						
USGS	11179000	1999-04-16									204	A						
USGS	11179000	1999-04-17									199	A						
USGS	11179000	1999-04-18									161	A						
USGS	11179000	1999-04-19									137	A						
USGS	11179000	1999-04-20									125	A						
USGS	11179000	1999-04-21									109	A						
USGS	11179000	1999-04-22									106	A						
USGS	11179000	1999-04-23									89	A						
USGS	11179000	1999-04-24									82	A						
USGS	11179000	1999-04-25									77	A						
USGS	11179000	1999-04-26									69	A						
USGS	11179000	1999-04-27									77	A						
USGS	11179000	1999-04-28									76	A						
USGS	11179000	1999-04-29									75	A						
USGS	11179000	1999-04-30									72	A						
USGS	11179000	1999-05-01									82	A						
USGS	11179000	1999-05-02									89	A						
USGS	11179000	1999-05-03									97	A						
USGS	11179000	1999-05-04									81	A						
USGS	11179000	1999-05-05									58	A						
USGS	11179000	1999-05-06									51	A						
USGS	11179000	1999-05-07									47	A						
USGS	11179000	1999-05-08									53	A						
USGS	11179000	1999-05-09									55	A						
USGS	11179000	1999-05-10									52	A						
USGS	11179000	1999-05-11									52	A						
USGS	11179000	1999-05-12									64	A						
USGS	11179000	1999-05-13									63	A						
USGS	11179000	1999-05-14									51	A						
USGS	11179000	1999-05-15									71	A						
USGS	11179000	1999-05-16									75	A						
USGS	11179000	1999-05-17									64	A						
USGS	11179000	1999-05-18									48	A						
USGS	11179000	1999-05-19									46	A						
USGS	11179000	1999-05-20									45	A						
USGS	11179000	1999-05-21									43	A						
USGS	11179000	1999-05-22									43	A						
USGS	11179000	1999-05-23									44	A						
USGS	11179000	1999-05-24									40	A						
USGS	11179000	1999-05-25									34	A						
USGS	11179000	1999-05-26									30	A						
USGS	11179000	1999-05-27									29	A						
USGS	11179000	1999-05-28									31	A						
USGS	11179000	1999-05-29									32	A						
USGS	11179000	1999-05-30									35	A						
USGS	11179000	1999-05-31									37	A						
USGS	11179000	1999-06-01									36	A						
USGS	11179000	1999-06-02									29	A						
USGS	11179000	1999-06-03									34	A						
USGS	11179000	1999-06-04									32	A						
USGS	11179000	1999-06-05									35	A						
USGS	11179000	1999-06-06									38	A						
USGS	11179000	1999-06-07									35	A						
USGS	11179000	1999-06-08									31	A						
USGS	11179000	1999-06-09									35	A						
USGS	11179000	1999-06-10									35	A						
USGS	11179000	1999-06-11									34	A						
USGS	11179000	1999-06-12									37	A						
USGS	11179000	1999-06-13									40	A						
USGS	11179000	1999-06-14									36	A						
USGS	11179000	1999-06-15									32	A						
USGS	11179000	1999-06-16									26	A						
USGS	11179000	1999-06-17									25	A						
USGS	11179000	1999-06-18									34	A						
USGS	11179000	1999-06-19									39	A						
USGS	11179000	1999-06-20									46	A						
USGS	11179000	1999-06-21									50	A						
USGS	11179000	1999-06-22									45	A						
USGS	11179000	1999-06-23									40	A						
USGS	11179000	1999-06-24									44	A						
USGS	11179000	1999-06-25									45	A						
USGS	11179000	1999-06-26									46	A						
USGS	11179000	1999-06-27									49	A						
USGS	11179000	1999-06-28									48	A						
USGS	11179000	1999-06-29									41	A						
USGS	11179000	1999-06-30									47	A						
USGS	11179000	1999-07-01									44	A						
USGS	11179000	1999-07-02									48	A						
USGS	11179000	1999-07-03									44	A						
USGS	11179000	1999-07-04									47	A						
USGS	11179000	1999-07-05									44	A						
USGS	11179000	1999-07-06									42	A						
USGS	11179000	1999-07-07									50	A						
USGS	11179000	1999-07-08									42	A						
USGS	11179000	1999-07-09									42	A						
USGS	11179000	1999-07-10									44	A						
USGS	11179000	1999-07-11									45	A						
USGS	11179000	1999-07-12									41	A						
USGS	11179000	1999-07-13									41	A						
USGS	11179000	1999-07-14									39	A						
USGS	11179000	1999-07-15									45	A						
USGS	11179000	1999-07-16									43	A						
USGS	11179000	1999-07-17									45	A						
USGS	11179000	1999-07-18									46	A						
USGS	11179000	1999-07-19									47	A						
USGS	11179000	1999-07-20									47	A						
USGS	11179000	1999-07-21									48	A						
USGS	11179000	1999-07-22									49	A						
USGS	11179000	1999-07-23									54	A						
USGS	11179000	1999-07-24									54	A						
USGS	11179000	1999-07-25									57	A						
USGS	11179000	1999-07-26									56	A						
USGS	11179000	1999-07-27									55	A						
USGS	11179000	1999-07-28									52	A						
USGS	11179000	1999-07-29									49	A						
USGS	11179000	1999-07-30									49	A						
USGS	11179000	1999-07-31									52	A						
USGS	11179000	1999-08-01									54	A						
USGS	11179000	1999-08-02									49	A						
USGS	11179000	1999-08-03									55	A						
USGS	11179000	1999-08-04									56	A						
USGS	11179000	1999-08-05									57	A						
USGS	11179000	1999-08-06									75	A						
USGS	11179000	1999-08-07									60	A						
USGS	11179000	1999-08-08									59	A						
USGS	11179000	1999-08-09									57	A						
USGS	11179000	1999-08-10									57	A						
USGS	11179000	1999-08-11									57	A						
USGS	11179000	1999-08-12									55	A						
USGS	11179000	1999-08-13									52	A						
USGS	11179000	1999-08-14									53	A						
USGS	11179000	1999-08-15									55	A						
USGS	11179000	1999-08-16									55	A						
USGS	11179000	1999-08-17									56	A						
USGS	11179000	1999-08-18									56	A						
USGS	11179000	1999-08-19									55	A						
USGS	11179000	1999-08-20									56	A						
USGS	11179000	1999-08-21									55	A						
USGS	11179000	1999-08-22									54	A						
USGS	11179000	1999-08-23									55	A						
USGS	11179000	1999-08-24									47	A						
USGS	11179000	1999-08-25									43	A						
USGS	11179000	1999-08-26									41	A						
USGS	11179000	1999-08-27									42	A						
USGS	11179000	1999-08-28									44	A						
USGS	11179000	1999-08-29									48	A						
USGS	11179000	1999-08-30									48	A						
USGS	11179000	1999-08-31									47	A						
USGS	11179000	1999-09-01									46	A						
USGS	11179000	1999-09-02									46	A						
USGS	11179000	1999-09-03									47	A						
USGS	11179000	1999-09-04									49	A						
USGS	11179000	1999-09-05									47	A						
USGS	11179000	1999-09-06									44	A						
USGS	11179000	1999-09-07									42	A						
USGS	11179000	1999-09-08									42	A						
USGS	11179000	1999-09-09									77	A						
USGS	11179000	1999-09-10									57	A						
USGS	11179000	1999-09-11									50	A						
USGS	11179000	1999-09-12									45	A						
USGS	11179000	1999-09-13									43	A						
USGS	11179000	1999-09-14									42	A						
USGS	11179000	1999-09-15									40	A						
USGS	11179000	1999-09-16									45	A						
USGS	11179000	1999-09-17									33	A						
USGS	11179000	1999-09-18									20	A						
USGS	11179000	1999-09-19									21	A						
USGS	11179000	1999-09-20									20	A						
USGS	11179000	1999-09-21									21	A						
USGS	11179000	1999-09-22									28	A						
USGS	11179000	1999-09-23									31	A						
USGS	11179000	1999-09-24									20	A						
USGS	11179000	1999-09-25									22	A						
USGS	11179000	1999-09-26									37	A						
USGS	11179000	1999-09-27									49	A						
USGS	11179000	1999-09-28									55	A						
USGS	11179000	1999-09-29									46	A						
USGS	11179000	1999-09-30									43	A						
USGS	11179000	1999-10-01									43	A	9	A	1.1	A	0.00	A
USGS	11179000	1999-10-02									47	A	9	A	1.2	A	0.00	A
USGS	11179000	1999-10-03									46	A	9	A	1.2	A	0.00	A
USGS	11179000	1999-10-04									47	A	10	A	1.2	A	0.00	A
USGS	11179000	1999-10-05									43	A	10	A	1.1	A	0.00	A
USGS	11179000	1999-10-06									43	A	10	A	1.1	A	0.00	A
USGS	11179000	1999-10-07									41	A	10	A	1.1	A	0.00	A
USGS	11179000	1999-10-08							16.0	A	41	A	10	A	1.1	A	0.00	A
USGS	11179000	1999-10-09									42	A	10	A	1.2	A	0.00	A
USGS	11179000	1999-10-10									41	A	11	A	1.2	A	0.00	A
USGS	11179000	1999-10-11									40	A	11	A	1.2	A	0.00	A
USGS	11179000	1999-10-12									41	A	11	A	1.2	A	0.00	A
USGS	11179000	1999-10-13									41	A	11	A	1.2	A	0.00	A
USGS	11179000	1999-10-14									35	A	11	A	1.1	A	0.00	A
USGS	11179000	1999-10-15									40	A	11	A	1.2	A	0.00	A
USGS	11179000	1999-10-16									42	A	12	A	1.3	A	0.00	A
USGS	11179000	1999-10-17									41	A	12	A	1.3	A	0.00	A
USGS	11179000	1999-10-18									41	A	12	A	1.3	A	0.00	A
USGS	11179000	1999-10-19									42	A	12	A	1.4	A	0.00	A
USGS	11179000	1999-10-20									41	A	12	A	1.3	A	0.00	A
USGS	11179000	1999-10-21									40	A	12	A	1.3	A	0.00	A
USGS	11179000	1999-10-22									42	A	13	A	1.4	A	0.00	A
USGS	11179000	1999-10-23									43	A	13	A	1.5	A	0.00	A
USGS	11179000	1999-10-24									44	A	13	A	1.5	A	0.00	A
USGS	11179000	1999-10-25									43	A	13	A	1.5	A	0.00	A
USGS	11179000	1999-10-26									44	A	13	A	1.6	A	0.00	A
USGS	11179000	1999-10-27									48	A	15	A	1.9	A	0.00	A
USGS	11179000	1999-10-28									101	A	38	A	14	A	0.45	A
USGS	11179000	1999-10-29									53	A	22	A	3.3	A	0.00	A
USGS	11179000	1999-10-30									39	A	20	A	2.1	A	0.00	A
USGS	11179000	1999-10-31									37	A	18	A	1.9	A	0.00	A
USGS	11179000	1999-11-01									37	A	17	A	1.7	A	0.00	A
USGS	11179000	1999-11-02									41	A	15	A	1.7	A	0.00	A
USGS	11179000	1999-11-03									38	A	14	A	1.4	A	0.00	A
USGS	11179000	1999-11-04									35	A	12	A	1.2	A	0.00	A
USGS	11179000	1999-11-05									33	A	11	A	0.96	A	0.00	A
USGS	11179000	1999-11-06							16.5	A	32	A	9	A	0.80	A	0.00	A
USGS	11179000	1999-11-07									40	A	24	A	15	A	0.46	A
USGS	11179000	1999-11-08									215	A	136	A	102	A	3.9	A
USGS	11179000	1999-11-09									56	A	25	A	4.0	A	0.00	A
USGS	11179000	1999-11-10							14.0	A	29	A	15	A	1.2	A	0.00	A
USGS	11179000	1999-11-11									26	A	16	A	1.1	A	0.00	A
USGS	11179000	1999-11-12									26	A	17	A	1.2	A	0.00	A
USGS	11179000	1999-11-13									26	A	19	A	1.3	A	0.00	A
USGS	11179000	1999-11-14							14.5	A	25	A	20	A	1.3	A	0.00	A
USGS	11179000	1999-11-15									26	A	19	A	1.3	A	0.00	A
USGS	11179000	1999-11-16									26	A	18	A	1.2	A	0.00	A
USGS	11179000	1999-11-17									66	A	25	A	4.8	A	0.02	A
USGS	11179000	1999-11-18									33	A	11	A	1.1	A	0.00	A
USGS	11179000	1999-11-19									84	A	31	A	18	A	1.2	A
USGS	11179000	1999-11-20									76	A	42	A	9.6	A	0.05	A
USGS	11179000	1999-11-21									34	A	29	A	2.7	A	0.00	A
USGS	11179000	1999-11-22									25	A	28	A	1.9	A	0.00	A
USGS	11179000	1999-11-23									16	A	24	A	1.1	A	0.00	A
USGS	11179000	1999-11-24									15	A	22	A	0.87	A	0.00	A
USGS	11179000	1999-11-25									19	A	20	A	1.0	A	0.00	A
USGS	11179000	1999-11-26									26	A	18	A	1.3	A	0.00	A
USGS	11179000	1999-11-27									28	A	16	A	1.2	A	0.00	A
USGS	11179000	1999-11-28									29	A	14	A	1.1	A	0.00	A
USGS	11179000	1999-11-29									27	A	12	A	0.86	A	0.00	A
USGS	11179000	1999-11-30							12.5	A	34	A	13	A	1.3	A	0.00	A
USGS	11179000	1999-12-01									45	A	20	A	2.7	A	0.00	A
USGS	11179000	1999-12-02									26	A	11	A	0.79	A	0.00	A
USGS	11179000	1999-12-03									24	A	11	A	0.74	A	0.00	A
USGS	11179000	1999-12-04									28	A	12	A	0.88	A	0.00	A
USGS	11179000	1999-12-05									31	A	12	A	0.97	A	0.00	A
USGS	11179000	1999-12-06									30	A	12	A	0.95	A	0.00	A
USGS	11179000	1999-12-07							10.5	A	28	A	12	A	0.90	A	0.00	A
USGS	11179000	1999-12-08									28	A	11	A	0.86	A	0.00	A
USGS	11179000	1999-12-09									43	A	34	A	5.5	A	0.00	A
USGS	11179000	1999-12-10							9.00	A	44	A	37	A	4.6	A	0.00	A
USGS	11179000	1999-12-11									28	A	13	A	1.0	A	0.00	A
USGS	11179000	1999-12-12									27	A	16	A	1.2	A	0.00	A
USGS	11179000	1999-12-13									28	A	13	A	0.96	A	0.00	A
USGS	11179000	1999-12-14							7.50	A	29	A	10	A	0.82	A	0.00	A
USGS	11179000	1999-12-15							6.50	A	27	A	14	A	1.0	A	0.00	A
USGS	11179000	1999-12-16							6.50	A	27	A	10	A	0.77	A	0.00	A
USGS	11179000	1999-12-17							7.00	A	28	A	13	A	0.98	A	0.00	A
USGS	11179000	1999-12-18									27	A	12	A	0.88	A	0.00	A
USGS	11179000	1999-12-19									29	A	10	A	0.80	A	0.00	A
USGS	11179000	1999-12-20							10.5	A	30	A	8	A	0.68	A	0.00	A
USGS	11179000	1999-12-21									27	A	7	A	0.54	A	0.00	A
USGS	11179000	1999-12-22									26	A	7	A	0.48	A	0.00	A
USGS	11179000	1999-12-23							8.5	A	25	A	6	A	0.42	A	0.00	A
USGS	11179000	1999-12-24									26	A	7	A	0.48	A	0.00	A
USGS	11179000	1999-12-25									26	A	8	A	0.55	A	0.00	A
USGS	11179000	1999-12-26									26	A	9	A	0.63	A	0.00	A
USGS	11179000	1999-12-27							6.50	A	27	A	10	A	0.71	A	0.00	A
USGS	11179000	1999-12-28									25	A	10	A	0.65	A	0.00	A
USGS	11179000	1999-12-29									20	A	9	A	0.51	A	0.00	A
USGS	11179000	1999-12-30									16	A	9	A	0.40	A	0.00	A
USGS	11179000	1999-12-31									15	A	9	A	0.35	A	0.00	A
USGS	11179000	2000-01-01									14	A	9	A	0.32	A	0.00	A
USGS	11179000	2000-01-02									15	A	8	A	0.34	A	0.00	A
USGS	11179000	2000-01-03							8.00	A	15	A	8	A	0.33	A	0.00	A
USGS	11179000	2000-01-04							8.50	A	21	A	10	A	0.59	A	0.00	A
USGS	11179000	2000-01-05							8.50	A	25	A	9	A	0.61	A	0.00	A
USGS	11179000	2000-01-06									21	A	7	A	0.40	A	0.00	A
USGS	11179000	2000-01-07							8.0	A	19	A	5	A	0.28	A	0.00	A
USGS	11179000	2000-01-08									19	A	5	A	0.27	A	0.00	A
USGS	11179000	2000-01-09									23	A	6	A	0.34	A	0.00	A
USGS	11179000	2000-01-10							11.0	A	23	A	6	A	0.38	A	0.00	A
USGS	11179000	2000-01-11									93	A	122	A	121	A	3.2	A
USGS	11179000	2000-01-12							11.0	A	103	A	155	A	58	A	0.22	A
USGS	11179000	2000-01-13									33	A	22	A	2.0	A	0.00	A
USGS	11179000	2000-01-14							10.0	A	28	A	13	A	0.95	A	0.00	A
USGS	11179000	2000-01-15									29	A	14	A	1.1	A	0.00	A
USGS	11179000	2000-01-16									278	A	101	A	175	A	22	A
USGS	11179000	2000-01-17									58	A	33	A	5.3	A	0.00	A
USGS	11179000	2000-01-18									361	A	139	A	197	A	24	A
USGS	11179000	2000-01-19									89	A	53	A	13	A	0.05	A
USGS	11179000	2000-01-20							13.5	A	58	A	34	A	5.5	A	0.00	A
USGS	11179000	2000-01-21							11.5	A	37	A	15	A	1.5	A	0.00	A
USGS	11179000	2000-01-22									42	A	25	A	3.0	A	0.00	A
USGS	11179000	2000-01-23									361	A	128	A	207	A	33	A
USGS	11179000	2000-01-24									1900	A	676	A	3810	A	394	A
USGS	11179000	2000-01-25									927	A	283	A	1110	A	142	A
USGS	11179000	2000-01-26									165	A	40	A	19	A	1.1	A
USGS	11179000	2000-01-27									86	A	23	A	5.4	A	0.00	A
USGS	11179000	2000-01-28							10.5	A	64	A	18	A	3.1	A	0.00	A
USGS	11179000	2000-01-29							11.5	A	53	A	18	A	2.6	A	0.00	A
USGS	11179000	2000-01-30									85	A	51	A	18	A	0.28	A
USGS	11179000	2000-01-31							12.0	A	67	A	40	A	7.5	A	0.00	A
USGS	11179000	2000-02-01									51	A	27	A	3.8	A	0.00	A
USGS	11179000	2000-02-02							13.0	A	46	A	21	A	2.6	A	0.00	A
USGS	11179000	2000-02-03									79	A	49	A	23	A	0.56	A
USGS	11179000	2000-02-04							12.0	A	83	A	48	A	12	A	0.06	A
USGS	11179000	2000-02-05									56	A	37	A	5.6	A	0.00	A
USGS	11179000	2000-02-06									55	A	37	A	5.5	A	0.00	A
USGS	11179000	2000-02-07									47	A	31	A	3.9	A	0.00	A
USGS	11179000	2000-02-08							12.5	A	46	A	25	A	3.0	A	0.00	A
USGS	11179000	2000-02-09							13.0	A	43	A	23	A	2.7	A	0.00	A
USGS	11179000	2000-02-10									85	A	49	A	16	A	0.21	A
USGS	11179000	2000-02-11									336	A	114	A	452	A	56	A
USGS	11179000	2000-02-12									1020	A	349	A	1530	A	170	A
USGS	11179000	2000-02-13									1610	A	453	A	3580	A	301	A
USGS	11179000	2000-02-14									3350	A	892	A	9190	A	726	A
USGS	11179000	2000-02-15									642	A	207	A	415	A	66	A
USGS	11179000	2000-02-16									287	A	90	A	71	A	5.1	A
USGS	11179000	2000-02-17									258	A	63	A	45	A	3.8	A
USGS	11179000	2000-02-18							12.0	A	174	A	36	A	17	A	0.67	A
USGS	11179000	2000-02-19									143	A	26	A	9.9	A	0.39	A
USGS	11179000	2000-02-20									143	A	25	A	12	A	0.66	A
USGS	11179000	2000-02-21									176	A	48	A	25	A	1.2	A
USGS	11179000	2000-02-22									191	A	52	A	50	A	9.0	A
USGS	11179000	2000-02-23									2400	A	325	A	2560	A	510	A
USGS	11179000	2000-02-24									613	A	108	A	184	A	54	A
USGS	11179000	2000-02-25									582	A	98	A	155	A	45	A
USGS	11179000	2000-02-26									366	A	124	A	122	A	12	A
USGS	11179000	2000-02-27									1560	A	439	A	1960	A	310	A
USGS	11179000	2000-02-28									1680	A	467	A	2120	A	338	A
USGS	11179000	2000-02-29									1460	A	408	A	1610	A	277	A
USGS	11179000	2000-03-01									969	A	311	A	823	A	138	A
USGS	11179000	2000-03-02									729	A	267	A	527	A	77	A
USGS	11179000	2000-03-03									582	A	209	A	331	A	46	A
USGS	11179000	2000-03-04									444	A	164	A	197	A	21	A
USGS	11179000	2000-03-05									1350	A	348	A	1350	A	246	A
USGS	11179000	2000-03-06									978	A	259	A	686	A	140	A
USGS	11179000	2000-03-07									771	A	206	A	431	A	87	A
USGS	11179000	2000-03-08									1240	A	312	A	1150	A	214	A
USGS	11179000	2000-03-09							7.50	A	1480	A	341	A	1390	A	282	A
USGS	11179000	2000-03-10									1030	A	224	A	628	A	156	A
USGS	11179000	2000-03-11									801	A	181	A	393	A	94	A
USGS	11179000	2000-03-12									640	A	149	A	258	A	57	A
USGS	11179000	2000-03-13									510	A	122	A	168	A	32	A
USGS	11179000	2000-03-14									406	A	99	A	108	A	16	A
USGS	11179000	2000-03-15									336	A	74	A	68	A	7.8	A
USGS	11179000	2000-03-16									292	A	52	A	41	A	4.5	A
USGS	11179000	2000-03-17									245	A	38	A	26	A	3.7	A
USGS	11179000	2000-03-18									205	A	27	A	15	A	1.7	A
USGS	11179000	2000-03-19									180	A	21	A	10	A	0.73	A
USGS	11179000	2000-03-20									162	A	14	A	6.3	A	0.57	A
USGS	11179000	2000-03-21							13.5	A	156	A	9	A	3.8	A	0.51	A
USGS	11179000	2000-03-22									135	A	9	A	3.3	A	0.32	A
USGS	11179000	2000-03-23									118	A	10	A	3.1	A	0.16	A
USGS	11179000	2000-03-24									111	A	10	A	2.9	A	0.10	A
USGS	11179000	2000-03-25									104	A	9	A	2.6	A	0.03	A
USGS	11179000	2000-03-26							16.0	A	100	A	9	A	2.5	A	0.00	A
USGS	11179000	2000-03-27									96	A	10	A	2.7	A	0.00	A
USGS	11179000	2000-03-28							14.0	A	93	A	12	A	2.9	A	0.00	A
USGS	11179000	2000-03-29									90	A	11	A	2.6	A	0.00	A
USGS	11179000	2000-03-30									87	A	10	A	2.2	A	0.00	A
USGS	11179000	2000-03-31							18.5	A	83	A	8	A	1.9	A	0.00	A
USGS	11179000	2000-04-01									79	A	8	A	1.7	A	0.00	A
USGS	11179000	2000-04-02									78	A	8	A	1.8	A	0.00	A
USGS	11179000	2000-04-03									74	A	9	A	1.7	A	0.00	A
USGS	11179000	2000-04-04									72	A	9	A	1.7	A	0.00	A
USGS	11179000	2000-04-05									73	A	9	A	1.8	A	0.00	A
