# ---------------------------------- WARNING ----------------------------------------
# Some of the data that you have obtained from this U.S. Geological Survey database
# may not have received Director's approval. Any such data values are qualified
# as provisional and are subject to revision. Provisional data are released on the
# condition that neither the USGS nor the United States Government may be held liable
# for any damages resulting from its use.
#
# Additional info: https://help.waterdata.usgs.gov/policies/provisional-data-statement
#
# File-format description:  https://help.waterdata.usgs.gov/faq/about-tab-delimited-output
# Automated-retrieval info: https://help.waterdata.usgs.gov/faq/automated-retrievals
#
# Contact:   gs-w_support_nwisweb@usgs.gov
# retrieved: 2017-03-06 14:10:12 EST       (vaww02)
#
# Data for the following 1 site(s) are contained in this file
#    USGS 11460000 CORTE MADERA C A ROSS CA
# -----------------------------------------------------------------------------------
#
# Data provided for site 11460000
#            TS   parameter     statistic     Description
#         11304       00060     00003     Discharge, cubic feet per second (Mean)
#
# Data-value qualification codes included in this output:
#        
#     A  Approved for publication -- Processing and review completed.
#     e  Value has been estimated.
# 
agency_cd	site_no	datetime	11304_00060_00003	11304_00060_00003_cd
USGS	11460000	2011-02-24	47	A
USGS	11460000	2011-02-25	215	A
USGS	11460000	2011-02-26	103	A
USGS	11460000	2011-02-27	67	A
USGS	11460000	2011-02-28	46	A
USGS	11460000	2011-03-01	36	A
USGS	11460000	2011-03-02	323	A
USGS	11460000	2011-03-03	148	A
USGS	11460000	2011-03-04	97	A
USGS	11460000	2011-03-05	71	A
USGS	11460000	2011-03-06	87	A
USGS	11460000	2011-03-07	71	A
USGS	11460000	2011-03-08	58	A
USGS	11460000	2011-03-09	40	A
USGS	11460000	2011-03-10	34	A
USGS	11460000	2011-03-11	33	A
USGS	11460000	2011-03-12	34	A
USGS	11460000	2011-03-13	41	A
USGS	11460000	2011-03-14	56	A
USGS	11460000	2011-03-15	93	A
USGS	11460000	2011-03-16	126	A
USGS	11460000	2011-03-17	76	A
USGS	11460000	2011-03-18	309	A
USGS	11460000	2011-03-19	553	A
USGS	11460000	2011-03-20	698	A
USGS	11460000	2011-03-21	237	A
USGS	11460000	2011-03-22	154	A
USGS	11460000	2011-03-23	361	A
USGS	11460000	2011-03-24	765	A
USGS	11460000	2011-03-25	365	A
USGS	11460000	2011-03-26	511	A
USGS	11460000	2011-03-27	251	A
USGS	11460000	2011-03-28	154	A
USGS	11460000	2011-03-29	106	A
USGS	11460000	2011-03-30	75	A
USGS	11460000	2011-03-31	56	A
USGS	11460000	2011-04-01	46	A
USGS	11460000	2011-04-02	37	A
USGS	11460000	2011-04-03	31	A
USGS	11460000	2011-04-04	27	A
USGS	11460000	2011-04-05	24	A
USGS	11460000	2011-04-06	22	A
USGS	11460000	2011-04-07	20	A
USGS	11460000	2011-04-08	19	A
USGS	11460000	2011-04-09	16	A
USGS	11460000	2011-04-10	14	A
USGS	11460000	2011-04-11	13	A
USGS	11460000	2011-04-12	12	A
USGS	11460000	2011-04-13	14	A
USGS	11460000	2011-04-14	11	A
USGS	11460000	2011-04-15	10	A
USGS	11460000	2011-04-16	9.9	A
USGS	11460000	2011-04-17	9.4	A
USGS	11460000	2011-04-18	8.8	A
USGS	11460000	2011-04-19	8.4	A
USGS	11460000	2011-04-20	8.8	A
USGS	11460000	2011-04-21	16	A
USGS	11460000	2011-04-22	8.6	A
USGS	11460000	2011-04-23	7.9	A
USGS	11460000	2011-04-24	8.8	A
USGS	11460000	2011-04-25	8.0	A
USGS	11460000	2011-04-26	7.7	A
USGS	11460000	2011-04-27	6.4	A
USGS	11460000	2011-04-28	5.9	A
USGS	11460000	2011-04-29	5.7	A
USGS	11460000	2011-04-30	5.5	A
USGS	11460000	2011-05-01	5.1	A
USGS	11460000	2011-05-02	4.7	A
USGS	11460000	2011-05-03	4.6	A
USGS	11460000	2011-05-04	4.5	A
USGS	11460000	2011-05-05	4.3	A
USGS	11460000	2011-05-06	4.2	A
USGS	11460000	2011-05-07	4.1	A
USGS	11460000	2011-05-08	4.0	A
USGS	11460000	2011-05-09	3.9	A
USGS	11460000	2011-05-10	3.9	A
USGS	11460000	2011-05-11	3.8	A
USGS	11460000	2011-05-12	3.5	A
USGS	11460000	2011-05-13	3.6	A
USGS	11460000	2011-05-14	3.6	A
USGS	11460000	2011-05-15	5.7	A
USGS	11460000	2011-05-16	11	A
USGS	11460000	2011-05-17	23	A
USGS	11460000	2011-05-18	11	A
USGS	11460000	2011-05-19	6.2	A
USGS	11460000	2011-05-20	5.1	A
USGS	11460000	2011-05-21	4.5	A
USGS	11460000	2011-05-22	4.2	A
USGS	11460000	2011-05-23	4.1	A
USGS	11460000	2011-05-24	4.0	A
USGS	11460000	2011-05-25	9.1	A
USGS	11460000	2011-05-26	4.3	A
USGS	11460000	2011-05-27	4.0	A
USGS	11460000	2011-05-28	4.5	A
USGS	11460000	2011-05-29	4.0	A
USGS	11460000	2011-05-30	3.7	A
USGS	11460000	2011-05-31	3.8	A
USGS	11460000	2011-06-01		
USGS	11460000	2011-06-02		
USGS	11460000	2011-06-03		
USGS	11460000	2011-06-04		
USGS	11460000	2011-06-05		
USGS	11460000	2011-06-06		
USGS	11460000	2011-06-07		
USGS	11460000	2011-06-08		
USGS	11460000	2011-06-09		
USGS	11460000	2011-06-10		
USGS	11460000	2011-06-11		
USGS	11460000	2011-06-12		
USGS	11460000	2011-06-13		
USGS	11460000	2011-06-14		
USGS	11460000	2011-06-15		
USGS	11460000	2011-06-16		
USGS	11460000	2011-06-17		
USGS	11460000	2011-06-18		
USGS	11460000	2011-06-19		
USGS	11460000	2011-06-20		
USGS	11460000	2011-06-21		
USGS	11460000	2011-06-22		
USGS	11460000	2011-06-23		
USGS	11460000	2011-06-24		
USGS	11460000	2011-06-25		
USGS	11460000	2011-06-26		
USGS	11460000	2011-06-27		
USGS	11460000	2011-06-28		
USGS	11460000	2011-06-29		
USGS	11460000	2011-06-30		
USGS	11460000	2011-07-01		
USGS	11460000	2011-07-02		
USGS	11460000	2011-07-03		
USGS	11460000	2011-07-04		
USGS	11460000	2011-07-05		
USGS	11460000	2011-07-06		
USGS	11460000	2011-07-07		
USGS	11460000	2011-07-08		
USGS	11460000	2011-07-09		
USGS	11460000	2011-07-10		
USGS	11460000	2011-07-11		
USGS	11460000	2011-07-12		
USGS	11460000	2011-07-13		
USGS	11460000	2011-07-14		
USGS	11460000	2011-07-15		
USGS	11460000	2011-07-16		
USGS	11460000	2011-07-17		
USGS	11460000	2011-07-18		
USGS	11460000	2011-07-19		
USGS	11460000	2011-07-20		
USGS	11460000	2011-07-21		
USGS	11460000	2011-07-22		
USGS	11460000	2011-07-23		
USGS	11460000	2011-07-24		
USGS	11460000	2011-07-25		
USGS	11460000	2011-07-26		
USGS	11460000	2011-07-27		
USGS	11460000	2011-07-28		
USGS	11460000	2011-07-29		
USGS	11460000	2011-07-30		
USGS	11460000	2011-07-31		
USGS	11460000	2011-08-01		
USGS	11460000	2011-08-02		
USGS	11460000	2011-08-03		
USGS	11460000	2011-08-04		
USGS	11460000	2011-08-05		
USGS	11460000	2011-08-06		
USGS	11460000	2011-08-07		
USGS	11460000	2011-08-08		
USGS	11460000	2011-08-09		
USGS	11460000	2011-08-10		
USGS	11460000	2011-08-11		
USGS	11460000	2011-08-12		
USGS	11460000	2011-08-13		
USGS	11460000	2011-08-14		
USGS	11460000	2011-08-15		
USGS	11460000	2011-08-16		
USGS	11460000	2011-08-17		
USGS	11460000	2011-08-18		
USGS	11460000	2011-08-19		
USGS	11460000	2011-08-20		
USGS	11460000	2011-08-21		
USGS	11460000	2011-08-22		
USGS	11460000	2011-08-23		
USGS	11460000	2011-08-24		
USGS	11460000	2011-08-25		
USGS	11460000	2011-08-26		
USGS	11460000	2011-08-27		
USGS	11460000	2011-08-28		
USGS	11460000	2011-08-29		
USGS	11460000	2011-08-30		
USGS	11460000	2011-08-31		
USGS	11460000	2011-09-01		
USGS	11460000	2011-09-02		
USGS	11460000	2011-09-03		
USGS	11460000	2011-09-04		
USGS	11460000	2011-09-05		
USGS	11460000	2011-09-06		
USGS	11460000	2011-09-07		
USGS	11460000	2011-09-08		
USGS	11460000	2011-09-09		
USGS	11460000	2011-09-10		
USGS	11460000	2011-09-11		
USGS	11460000	2011-09-12		
USGS	11460000	2011-09-13		
USGS	11460000	2011-09-14		
USGS	11460000	2011-09-15		
USGS	11460000	2011-09-16		
USGS	11460000	2011-09-17		
USGS	11460000	2011-09-18		
USGS	11460000	2011-09-19		
USGS	11460000	2011-09-20		
USGS	11460000	2011-09-21		
USGS	11460000	2011-09-22		
USGS	11460000	2011-09-23		
USGS	11460000	2011-09-24		
USGS	11460000	2011-09-25		
USGS	11460000	2011-09-26		
USGS	11460000	2011-09-27		
USGS	11460000	2011-09-28		
USGS	11460000	2011-09-29		
USGS	11460000	2011-09-30		
USGS	11460000	2011-10-01		
USGS	11460000	2011-10-02		
USGS	11460000	2011-10-03		
USGS	11460000	2011-10-04		
USGS	11460000	2011-10-05		
